country,Year,Region,CO2 emissions from fuel combustion (MtCO2),Average CO2 emission factor (tCO2/toe),CO2 intensity at constant purchasing power parities (kCO2/$15p),Total energy production (Mtoe),Total energy consumption (Mtoe),Share of renewables in electricity production (%),Share of electricity in total final energy consumption (%),Oil products domestic consumption (Mt),Refined oil products production (Mt),Natural gas production (bcm),Natural gas domestic consumption (bcm),Energy intensity of GDP at constant purchasing power parities (koe/$15p),Electricity production (TWh),Electricity domestic consumption (TWh),Coal and lignite domestic consumption (Mt),Share of wind and solar in electricity production (%),Crude oil production (Mt),Coal and lignite production (Mt)
Algeria,1997,Arab States,58.07467449,2.413863218,0.2353555,121.6419902,24.05880916,0.327011118,10.22681679,7.239,26.374,67.07607734,17.8359948,0.097501589,22.935,17.123,0.541,0.0,60.9,0.0
Argentina,1997,South/Latin America,121.4134612,2.178231072,0.210398486,74.87091512,55.7394772,39.28665057,13.0736798,22.739,26.831,27.91398126,29.39198558,0.096591445,72.475,63.406,1.132754638,0.020696792,44.936,0.249
Australia,1997,Asia & Pacific,304.2503225,3.002280915,0.487047877,201.0230459,101.3397251,9.75571092,19.80631496,34.353,36.936,29.90796743,20.33099844,0.162225951,182.939,160.346,114.978,0.016398909,26.686,264.458
Belgium,1997,Europe,115.9620097,2.058188664,0.308071413,13.40138618,56.34177845,1.978866718,14.98568214,22.89,36.553,0.000157895,13.47588502,0.149680842,78.833,73.321,12.19057747,0.010148034,0.0,0.753
Brazil,1997,South/Latin America,271.2795694,1.51779828,0.143842602,126.7542513,178.7322947,92.97783637,16.69118373,81.464,74.588,6.25299637,6.270997294,0.094770566,307.982,292.601,19.713,0.001298777,43.749,5.647
Canada,1997,North America,492.8871889,1.369124195,0.34651313,367.3950811,241.5174349,62.35822566,22.0128781,84.154,91.402,168.0158761,85.83599161,0.253091087,573.711,489.787,57.254,0.017604682,118.985,78.674
Chile,1997,South/Latin America,51.94181017,2.283070046,0.255204837,8.364261088,22.7508614,62.13472685,13.52887791,10.473,8.923,1.700999806,2.351000143,0.111781431,33.297,29.653,6.228466968,0.0,0.441,1.044
China,1997,Asia & Pacific,2967.506083,2.765905465,0.840195621,1080.592839,1072.887747,17.51246602,8.956760387,212.681,197.024,22.70298734,19.63198804,0.303768741,1135.888,952.637,1333.551847,0.029316271,160.741,1335.871
Colombia,1997,South/Latin America,58.94578944,2.148382573,0.165447163,66.72994149,27.43728709,71.64443448,13.74236696,11.758,14.281,6.559992601,6.559992601,0.077010103,44.605,35.435,4.945,0.0,33.773,32.565
Czechia,1997,Europe,125.1024973,2.883699721,0.551175812,33.77287116,43.38263667,3.984643487,14.91920066,7.847,7.41,0.215999977,9.425993641,0.191134953,64.598,53.163,64.531,0.0,0.463,74.016
